source,target
3D:Character Texture,3D:Текстура персонажа
3D:Body type,3D:Тип телосложения
3D:Hand model,3D:Модель руки
3D:Pose:Pose sequence,3D:Поза:Последовательность поз
Recently used materials,Недавно использованные материалы
所有,Все
範本,Шаблон
分格範本,Шаблон кадрирования
分格,Кадр
人物,Персонаж
姿勢,Поза
動作,Движение
攝影機,Камера
物品,Предмет
對白框,Выноска
描畫字元,Рисованный текст
描畫字元(字體),Рисованный текст (Шрифт)
漫畫符號,Манга-символы
效果,Эффект
其他,Прочее
紙張材質,Текстура бумаги
所有素材,Все материалы
紙張範本,Шаблон бумаги
CLIP素材,Материал CLIP
彩色圖案,Цветной узор
花樣,Узор
服裝花樣,Узор одежды
和服花樣,Японский узор
花朵圖案・植物圖案,Цветочный и растительный узор
效果・心情,Эффект и настроение
明・靜・柔・喜,"Свет, покой, мягкость и радость"
材質,Текстура
單色圖案,Одноцветный узор
網點,Точки
網線,Параллельные линии
沙粒,Песчаный узор
漸變貼圖,Градиент
網格線,Перекрёстная штриховка
漫畫素材,Материал манги
臺詞,Реплика
解說,Повествование
效果線,Линии эффекта
速度線,Линии скорости
海膽效果線,Вспышка “морского ежа”
反白效果線,Чёрная вспышка
活動・感覺,Движение и ощущение
衝擊,Удар
聲・氣息,Голос и дыхание
響聲・機械音,Шум и звук механизмов
發覺・衝擊,Внимание и удар
活動・感情,Движение и эмоция
汗・淚,Пот и слёзы
煙・氣息,Дым и дыхание
受傷,Рана
符號・圖形,Знаки и фигуры
圖示,Значок
圖像素材,Материал изображения
插圖,Иллюстрация
建築物,Здание
用具,Инструмент
效果・安排,Эффект и постановка
裝飾,Украшение
照片,Фотография
筆刷,Кисть
體型,Тип телосложения
小物品,Мелкий предмет
文具・書,Канцелярия и книги
學校設備,Школьное оборудование
運動,Спорт
傢俱・室內裝飾,Мебель и интерьер
時裝,Мода
交通工具,Транспорт
學校設施,Школьные сооружения
住宅,Жильё
公共設施・道路,Общественные сооружения и дороги
商業設施,Коммерческие сооружения
其他建築物,Прочие постройки
人物部件,Части персонажа
面孔,Лицо
身體,Тело
髮型,Волосы
人物材質,Текстура персонажа
下載,Загрузка
網點素材集,Коллекция тоновых материалов
3D素材集,Коллекция 3D-материалов
資源回收筒,Корзина
Change name,Изменить имя
Moving folder...,Перемещение папки...
Changing folder name...,Изменение имени папки...
Deleting folder...,Удаление папки...
Moving works...,Перемещение произведений...
Deleting works...,Удаление произведений...
Adding to Favorites...,Добавление в избранное...
Deleting from Favorites...,Удаление из избранного...
Fanzine printing data,Данные печати фанзина
EPUB data,Данные EPUB
Corner store print,Печать в магазине у дома
Syncing on,Синхронизация включена
Syncing off,Синхронизация выключена
Moving material...,Перемещение материала...
Deleting material...,Удаление материала...
Created material,Созданный материал
Downloaded material,Загруженный материал
Additional materials,Дополнительные материалы
Materials not added,Материалы не добавлены
Show property window of selected works,Показать окно свойств выбранных работ
"The selected %d items will be removed from this list and the actual files will be moved to the Recycle Bin/Trash of your computer.
(Please note that if there is not sufficient storage in your Recycle Bin, the files will be deleted entirely.)
If the files are saved to external storage, the files will be deleted without being moved to the Recycle Bin.
This operation cannot be undone. Remove anyway?","Выбранные элементы %d будут удалены из этого списка, а сами файлы будут перемещены в корзину вашего компьютера.
(Обратите внимание, что если в вашей корзине недостаточно места, файлы будут полностью удалены.)
Если файлы сохранены на внешнем хранилище, они будут удалены без перемещения в корзину.
Эту операцию невозможно отменить. Все равно удалить?"
"Delete selected %d files from this device.
This operation cannot be undone. Delete anyway?","Удалите выбранные файлы %d с этого устройства.
Эту операцию невозможно отменить. Все равно удалить?"
"The selected %d items will be deleted from this list.
 This operation does not affect the actual files.
The work files will be displayed in this list again if they are edited later.
This operation cannot be undone. Delete anyway?","Выбранные элементы %d будут удалены из этого списка.
 Эта операция не влияет на реальные файлы.
Рабочие файлы снова отобразятся в этом списке, если они будут отредактированы позже.
Эту операцию невозможно отменить. Все равно удалить?"
"The selected %d items will be removed from this list and the actual files will be moved to the Recycle Bin/Trash of your computer.
(Please note that if there is not sufficient storage in your Recycle Bin, the files will be deleted entirely.)
 If the files are saved to external storage, the files will be deleted without being moved to the Recycle Bin.
Works indicated as ""Not Found"" are only removed from this list. The actual files are not affected.
This operation cannot be undone. Remove anyway?","Выбранные элементы %d будут удалены из этого списка, а сами файлы будут перемещены в корзину вашего компьютера.
(Обратите внимание, что если в вашей корзине недостаточно места, файлы будут полностью удалены.)
 Если файлы сохранены на внешнем хранилище, они будут удалены без перемещения в корзину.
Работы с пометкой «Не найдено» удаляются только из этого списка. Фактические файлы не затрагиваются.
Эту операцию невозможно отменить. Все равно удалить?"
"Delete selected %d items from this device.
*Works indicated as ""Not Found"" are only deleted from this list. The actual files are not affected.
This operation cannot be undone. Delete anyway?","Удалить выбранные элементы %d с этого устройства.
*Работы со статусом «Не найдено» удаляются только из данного списка. Фактические файлы не затрагиваются.
Эту операцию невозможно отменить. Все равно удалить?"
Delete [%s],Удалить [%s]
Show property window of selected materials,Показать окно свойств выбранных материалов
"”%s” is used in the following sub tool brush shape preset. 
Do you want to delete the material?","«%s» используется в следующей предустановке формы кисти вспомогательного инструмента. 
Хотите удалить материал?"
Searching sub tool to use this material...(Cancel to delete without searching),"Дополнительный инструмент поиска для использования этого материала... (Отмена, чтобы удалить без поиска)"
3D:Background,3D:Фон
3D:Background:Housing,3D:Фон:Жильё
3D:Background:Vehicle,3D:Фон:Транспорт
3D:Character,3D:Персонаж
3D:Head,3D:Голова
3D:Motion,3D:Движение
3D:Motion:Camera,3D:Движение:Камера
3D:Motion:Character,3D:Движение:Персонаж
3D:Panorama,3D:Небесная сфера
3D:Pose,3D:Поза
3D:Pose:Hand,3D:Поза:Рука
3D:Primitive,3D:Примитив
Artificial,Искусственное
Basic,Основное
Body,Тело
Building,Здание
Camera,Камера
Character,Персонаж
Commodity,Предметы быта
Cross-hatching,Перекрёстная штриховка
Decoration,Украшение
Dialog,Реплика
Dot,Точки
Download,Загрузки
Download:Material,Загрузки:Материал
Effect,Эффект
Face,Лицо
Fashion,Мода
Favorite,Избранное
Feeling,Настроение
Hair,Волосы
Hand,Рука
Head,Голова
Housing,Жильё
Icon,Значок
Illustration,Иллюстрация
Impact,Удар
Item,Предмет
Light,Свет
Motion,Движение
Narration,Повествование
Nature,Природа
Pattern,Узор
Picture,Фотография
Primitive,Примитив
Sentiment,Настроение
Sport,Спорт
Template,Шаблон
Texture,Текстура
Tool,Инструмент
Vehicle,Транспорт
Weapon,Оружие
Wound,Рана
