key,source,target
13/1/30#0,Cut,Вырезать
13/1/31#0,Copy,Копировать
13/1/588#0,Copy vectors as SVG,Копировать векторы как SVG
13/1/32#0,Paste,Вставить
13/1/33#0,Paste to shown position,Вставить в отображаемую позицию
13/1/34#0,Delete,Удалить
13/1/591#0,Delete Outside Selection,Удалить за пределами выделения
13/1/593#0,Smart Smoothing,Умное сглаживание
13/1/595#0,Remove tones (Technology preview),Удалить тона (Предварительная версия технологии)
13/1/1364#0,Remove tones,Удалить тона
13/1/597#0,Remove tones from layer,Удалить тона со слоя
13/1/599#0,Change tones to grayscale,Преобразовать тона в оттенки серого
13/1/35#0,Fill,Заливка
13/1/602#0,Advanced Fill,Расширенная заливка
13/1/604#0,Colorize (Technology preview),Раскрашивание (Предварительная версия технологии)
13/1/1365#0,Colorize,Раскрасить
13/1/606#0,Colorize all,Раскрасить всё
13/1/608#0,Use hint image and colorize,Использовать изображение-подсказку и раскрасить
13/1/610#0,Use more advanced settings,Использовать дополнительные настройки
13/1/614#0,Convert to drawing color,Преобразовать в цвет рисования
13/1/616#0,Outline Selection,Контур выделения
13/1/618#0,Convert brightness to opacity,Преобразовать яркость в непрозрачность
13/1/612#0,Shading Assist,Помощник по теням
13/1/620#0,Register Material,Зарегистрировать материал
13/1/622#0,Image,Изображение
13/1/624#0,Template,Template
13/1/626#0,Animation,Анимация
13/1/628#0,Tonal Correction,Тоновая коррекция
13/1/650#0,Transform,Трансформировать
13/1/36#0,Scale/Rotate,Масштаб/Поворот
13/1/40#0,Scale,Масштабировать
13/1/41#0,Rotate,Повернуть
13/1/37#0,Free Transform,Свободная трансформация
13/1/43#0,Skew,Наклон
13/1/42#0,Distort,Искажение
13/1/44#0,Perspective,Перспектива
13/1/45#0,Flip Horizontal,Отразить по горизонтали
13/1/46#0,Flip Vertical,Отразить по вертикали
13/1/661#0,Mesh Transformation,Сеточная трансформация
13/1/664#0,Puppet warp,Марионеточная деформация
13/1/47#0,OK,OK
13/1/48#0,Cancel,Отмена
13/1/669#0,Align/Distribute,Выровнять/распределить
13/1/671#0,Align top edges,Выровнять по верхним краям
13/1/675#0,Align bottom edges,Выровнять по нижним краям
13/1/677#0,Align left edges,Выровнять по левым краям
13/1/681#0,Align right edges,Выровнять по правым краям
13/1/673#0,Align vertical centers,Выровнять по вертикальным центрам
13/1/679#0,Align horizontal centers,Выровнять по горизонтальным центрам
13/1/683#0,Distribute top edges,Распределить по верхним краям
13/1/687#0,Distribute bottom edges,Распределить по нижним краям
13/1/689#0,Distribute left edges,Распределить по левым краям
13/1/693#0,Distribute right edges,Распределить по правым краям
13/1/685#0,Distribute vertical centers,Распределить по вертикальным центрам
13/1/691#0,Distribute horizontal centers,Распределить по горизонтальным центрам
13/1/695#0,Distribute vertical spacing,Распределить по вертикальным интервалам
13/1/697#0,Distribute horizontal spacing,Распределить по горизонтальным интервалам
13/1/699#0,Use alignment object,Использовать объект выравнивания
13/1/701#0,Use canvas as base,Использовать холст как основу
13/1/703#0,Use selection area as base,Использовать область выделения как основу
13/1/705#0,Use guide as base,Использовать направляющую как основу
13/1/707#0,Auto-detect base,Автоопределение основы
13/1/709#0,Align to text pixels,Выровнять по пикселям текста
13/1/711#0,Align to vector paths,Выровнять по векторным контурам
13/1/38#0,Select All,Выделить всё
13/1/737#0,Canvas Properties,Свойства холста
13/1/717#0,Change canvas height,Изменить высоту холста
13/1/719#0,Extend,Расширить
13/1/721#0,Crop,Кадрировать
13/1/740#0,Clear work history,Очистить историю работы
13/1/742#0,History,История
13/1/744#0,Canvas work time,Время работы над холстом
13/1/747#0,Pick screen color,Взять цвет с экрана
13/1/749#0,Hide windows and pick screen color,Скрыть окна и взять цвет с экрана
13/1/1366#0,Canvas Size,Размер холста
13/1/715#0,Change Canvas Size,Изменить размер холста
13/1/723#0,Crop,Кадрировать
13/1/713#0,Change Image Resolution,Изменить разрешение изображения
13/1/725#0,Rotate/Flip canvas,Повернуть/отразить холст
13/1/727#0,Rotate by 90 Degrees Clockwise,Повернуть на 90 градусов по часовой стрелке
13/1/729#0,Rotate 180,Повернуть на 180°
13/1/731#0,Rotate by 90 Degrees Counterclockwise,Повернуть на 90 градусов против часовой стрелки
13/1/733#0,Flip Horizontal,Отразить по горизонтали
13/1/735#0,Flip Vertical,Отразить по вертикали
13/1/337#0,Select,Выделение
13/1/856#0,Deselect,Снять выделение
13/1/858#0,Reselect,Выделить повторно
13/1/860#0,Invert selected area,Инвертировать выделенную область
13/1/862#0,Expand selected area,Расширить выделенную область
13/1/866#0,Blur border,Размыть границу
13/1/864#0,Shrink selected area,Сузить выделенную область
13/1/1068#0,Selection Border,Граница выделения
13/1/869#0,Select Color Gamut,Выбрать цветовой охват
13/1/872#0,Select Overlapping Vectors,Выделить перекрывающиеся векторы
13/1/874#0,Select Vectors Within Area,Выделить векторы в области
13/1/877#0,Quick Mask,Быстрая маска
13/1/879#0,Convert to Selection Layer,Преобразовать в слой выделения
13/1/881#0,Convert Selection Layer to Selection,Преобразовать слой выделения в выделение
13/1/328#0,Story,История
13/1/185#0,First Page,Первая страница
13/1/186#0,Previous Page,Предыдущая страница
13/1/187#0,Next Page,Следующая страница
13/1/188#0,Last Page,Последняя страница
13/1/189#0,Specific Page,Определённая страница
13/1/190#0,Add Page,Добавить страницу
13/1/191#0,Add Page (Advanced),Добавить страницу (расширенно)
13/1/192#0,Import Page(s),Импортировать страницы
13/1/193#0,Replace page,Заменить страницу
13/1/194#0,Duplicate Page,Дублировать страницу
13/1/195#0,Delete Page,Удалить страницу
13/1/200#0,Sort page file names,Сортировать имена файлов страниц
13/1/196#0,Combine Pages,Объединить страницы
13/1/197#0,Split Pages,Разделить страницы
13/1/215#0,Apply layer comps,Применить композиции слоёв
13/1/1367#0,Set story information,Задать сведения о сюжете
13/1/1368#0,Change project settings,Изменить настройки проекта
13/1/198#0,Change page settings,Изменить настройки страницы
13/1/199#0,Change project settings,Изменить настройки проекта
13/1/1369#0,Change Color Profile,Изменить цветовой профиль
13/1/901#0,Page Manager,Менеджер страниц
13/1/903#0,Page Manager Layout,Макет менеджера страниц
13/1/905#0,Tab,Вкладка
13/1/907#0,Left,Слева
13/1/909#0,Right,Вправо
13/1/911#0,Top,Сверху
13/1/913#0,Bottom,Снизу
13/1/915#0,Auto-scroll,Автопрокрутка
13/1/201#0,Page Reordering,Изменение порядка страниц
13/1/202#0,Drag,Перетаскивание
13/1/203#0,Ctrl + Drag,Ctrl + перетаскивание
13/1/1370#0,Command + Drag,Command + перетаскивание
13/1/204#0,View,Вид
13/1/205#0,Page-by-page,Постранично
13/1/206#0,Webtoon,Вебтун
13/1/207#0,Webtoon reading direction,Направление чтения вебтуна
13/1/208#0,Right-to-left,Справа налево
13/1/209#0,Left-to-right,Слева направо
13/1/210#0,Batch process,Пакетная обработка
13/1/211#0,Batch process,Пакетная обработка
13/1/212#0,Batch import,Пакетный импорт
13/1/213#0,Batch export,Пакетный экспорт
13/1/214#0,Continuous Scan,Непрерывное сканирование
13/1/216#0,Binding process,Процесс переплёта
13/1/23#0,3D Preview for Binding,3D-просмотр переплёта
13/1/24#0,Export fanzine printing data,Экспортировать данные для печати фанзина
13/1/490#0,Open exporting destination of fanzine printing data,Открыть папку назначения данных для печати фанзина
13/1/25#0,Show binding list,Показать список переплёта
13/1/26#0,Print file name settings,Настройки имени файла печати
13/1/27#0,Allow cover pages to be moved,Разрешить перемещение страниц обложки
13/1/485#0,Export multiple pages,Экспортировать несколько страниц
13/1/492#0,Export EPUB data,Экспортировать данные EPUB
13/1/496#0,Export settings for EPUB data,Настройки экспорта данных EPUB
13/1/494#0,Open exporting destination of EPUB data,Открыть папку назначения данных EPUB
13/1/579#0,Corner store print,Печать в магазине у дома
13/1/21#0,Open page,Открыть страницу
13/1/22#0,Open page with new tab,Открыть страницу в новой вкладке
13/1/219#0,Group work,Совместная работа
13/1/220#0,Update work folder,Обновить папку работы
13/1/221#0,Reflect change on group work data,Отразить изменения в данных совместной работы
13/1/223#0,Assign member,Назначить участника
13/1/224#0,Unassign member,Отменить назначение участника
13/1/226#0,Discard changes to work folder,Отменить изменения в папке работы
13/1/227#0,Open conflicting file,Открыть конфликтующий файл
13/1/228#0,Resolve conflict,Разрешить конфликт
13/1/222#0,Show log,Показать журнал
13/1/225#0,Show member's comment,Показать комментарий участника
13/1/230#0,Show settings,Показать настройки
13/1/229#0,Prepare group work data,Подготовить данные совместной работы
13/1/948#0,Obtain group work data,Получить данные совместной работы
13/1/217#0,Edit text,Редактировать текст
13/1/218#0,Open story editor,Открыть редактор сюжета
13/1/232#0,New text,Новый текст
13/1/233#0,Delete text,Удалить текст
13/1/231#0,Apply Tool Settings to text,Применить настройки инструмента к тексту
13/1/234#0,Find and Replace,Найти и заменить
13/1/331#0,Animation,Анимация
13/1/108#0,New animation cel,Новая ячейка анимации
13/1/236#0,New animation layer,Новый слой анимации
13/1/237#0,Animation folder,Папка анимации
13/1/238#0,2D camera folder,Папка 2D-камеры
13/1/239#0,Audio,Аудио
13/1/240#0,Edit track,Редактировать дорожку
13/1/55#0,Add keyframe,Добавить ключевой кадр
13/1/56#0,Switch keyframe to hold interpolation,Переключить ключевой кадр на ступенчатую интерполяцию
13/1/57#0,Switch keyframe to linear interpolation,Переключить ключевой кадр на линейную интерполяцию
13/1/58#0,Switch keyframe to smooth interpolation,Переключить ключевой кадр на плавную интерполяцию
13/1/248#0,Assign cel to frame,Назначить ячейку кадру
13/1/249#0,Assign multiple cels,Назначить несколько ячеек
13/1/250#0,Create all supported cels,Создать все поддерживаемые ячейки
13/1/251#0,Rename in timeline order,Переименовать в порядке шкалы времени
13/1/252#0,Rename in layer order,Переименовать в порядке слоёв
13/1/241#0,Delete,Удалить
13/1/242#0,Cut,Вырезать
13/1/243#0,Copy,Копировать
13/1/244#0,Paste,Вставить
13/1/247#0,Delete all keyframes,Удалить все ключевые кадры
13/1/255#0,Set as first displayed frame,Задать как первый отображаемый кадр
13/1/256#0,Set as last displayed frame,Задать как последний отображаемый кадр
13/1/253#0,Combine clips,Объединить клипы
13/1/254#0,Divide clip,Разделить клип
13/1/979#0,Animation curve,Кривая анимации
13/1/51#0,Graph Editor,Редактор графиков
13/1/52#0,Snap to X axis,Привязка к оси X
13/1/53#0,Snap to Y axis,Привязка к оси Y
13/1/54#0,Unpair handles,Разъединить манипуляторы
13/1/109#0,Select previous cel,Выбрать предыдущую ячейку
13/1/110#0,Select next cel,Выбрать следующую ячейку
13/1/300#0,Check cel motion by key input,Проверить движение ячейки нажатием клавиши
13/1/301#0,Check surrounding cels by key input,Проверить соседние ячейки нажатием клавиши
13/1/1371#0,Onion skin,Калька
13/1/296#0,Show animation cels,Показать ячейки анимации
13/1/297#0,Show edited cel only,Показать только редактируемую ячейку
13/1/298#0,Enable onion skin,Включить кальку
13/1/299#0,Onion skin settings,Настройки кальки
13/1/257#0,Play/Stop,Воспроизвести/остановить
13/1/258#0,Playback settings,Настройки воспроизведения
13/1/259#0,Play in real time,Воспроизвести в реальном времени
13/1/260#0,Play all frames,Воспроизвести все кадры
13/1/261#0,Loop play,Циклическое воспроизведение
13/1/1117#0,Show playback fps,Показать частоту кадров воспроизведения
13/1/262#0,Render 2D camera,Рендеринг 2D-камеры
13/1/263#0,Render before starting playback,Рендеринг перед началом воспроизведения
13/1/1372#0,Auto,Авто
13/1/264#0,Prefer speed,Предпочесть скорость
13/1/265#0,Prefer quality,Предпочесть качество
13/1/266#0,Move frame,Переместить кадр
13/1/267#0,Go to start,Перейти к началу
13/1/268#0,Go to end,Перейти к концу
13/1/269#0,Go to previous frame,Перейти к предыдущему кадру
13/1/270#0,Go to next frame,Перейти к следующему кадру
13/1/271#0,Previous keyframe,Предыдущий ключевой кадр
13/1/272#0,Next keyframe,Следующий ключевой кадр
13/1/273#0,Go to specified frame,Перейти к указанному кадру
13/1/275#0,Label,Метка
13/1/276#0,Create timeline label,Создать метку шкалы времени
13/1/277#0,Delete timeline label,Удалить метку шкалы времени
13/1/274#0,Go to timeline label,Перейти к метке шкалы времени
13/1/278#0,Create track label,Создать метку дорожки
13/1/279#0,Delete track label,Удалить метку дорожки
13/1/280#0,Create inbetween track label “○”,Создать метку промежуточной дорожки «○»
13/1/281#0,Create inbetween track label “●”,Создать метку промежуточной дорожки «●»
13/1/245#0,Enable keyframes on this layer,Включить ключевые кадры на этом слое
13/1/246#0,Edit layers with active keyframes,Редактировать слои с активными ключевыми кадрами
13/1/283#0,Enable timeline,Включить шкалу времени
13/1/282#0,Timeline,Временная шкала
13/1/284#0,New timeline,Новая шкала времени
13/1/285#0,Go to previous timeline,Перейти к предыдущей шкале времени
13/1/286#0,Go to next timeline,Перейти к следующей шкале времени
13/1/287#0,Change settings,Изменить настройки
13/1/288#0,Change frame rate,Изменить частоту кадров
13/1/289#0,Manage timeline,Управление шкалой времени
13/1/290#0,Insert frame,Вставить кадр
13/1/291#0,Delete frame,Удалить кадр
13/1/303#0,Show 2D camera frames,Показать кадры 2D-камеры
13/1/304#0,Show camera path,Показать траекторию камеры
13/1/305#0,Show all field guides,Показать все направляющие поля
13/1/306#0,Audio scrubbing,Прокрутка звука
13/1/292#0,Apply Toei Animation Digital Exposure Sheet information to current exposure sheet,Применить сведения экспозиционного листа Toei Animation Digital к текущему экспозиционному листу
13/1/293#0,Load changes to Toei Animation Digital Exposure Sheet,Загрузить изменения в экспозиционный лист Toei Animation Digital
13/1/294#0,Toei Animation Digital Exposure Sheet settings,Настройки экспозиционного листа Toei Animation Digital
13/1/295#0,Toei Animation Digital Exposure Sheet path,Путь к экспозиционному листу Toei Animation Digital
13/1/541#0,Movie,Видео
13/1/498#0,Export animation,Экспортировать анимацию
13/1/312#0,Set as start frame,Задать как начальный кадр
13/1/313#0,Set as end frame,Задать как конечный кадр
13/1/307#0,Show/Hide This Track,Показать/скрыть эту дорожку
13/1/308#0,Show This Track and Parent Folders,Показать эту дорожку и родительские папки
13/1/309#0,Show All Other Tracks,Показать все другие дорожки
13/1/310#0,Hide All Other Tracks,Скрыть все другие дорожки
13/1/311#0,Hide All Except Selected Track,"Скрыть все, кроме выбранной дорожки"
13/1/83#0,File object,Файловый объект
13/1/539#0,Create file object,Создать файловый объект
13/1/85#0,Paste as file object,Вставить как файловый объект
13/1/1373#0,Import animation folder (Beta command),Импортировать папку анимации (бета-команда)
13/1/84#0,Convert layer to file object,Преобразовать слой в файловый объект
13/1/86#0,Change file of file object,Изменить файл файлового объекта
13/1/87#0,Open file of file object,Открыть файл файлового объекта
13/1/88#0,Open folder of file object,Открыть папку файлового объекта
13/1/89#0,Update file object,Обновить файловый объект
13/1/90#0,Update all file objects,Обновить все файловые объекты
13/1/334#0,Layer,Слой
13/1/111#0,New Raster Layer,Новый растровый слой
13/1/112#0,New Layer,Новый слой
13/1/113#0,Raster layer,Растровый слой
13/1/114#0,Vector layer,Векторный слой
13/1/115#0,Gradient,Gradient
13/1/116#0,Fill,Заливка
13/1/117#0,Tone,Tone
13/1/118#0,Frame Border folder,Папка рамок
13/1/119#0,3D layer,3D-слой
13/1/120#0,3D drawing figure,3D-фигура для рисования
13/1/121#0,Paper,Бумага
13/1/122#0,Clip Studio SHARE,Клип Студия ПОДЕЛИТЬСЯ
13/1/123#0,Foil layer,Слой фольги
13/1/124#0,New Correction Layer,Новый корректирующий слой
13/1/125#0,Brightness/Contrast,Яркость/контраст
13/1/126#0,Hue/Saturation/Luminosity,Тон/Насыщенность/Яркость
13/1/127#0,Posterization,Постеризация
13/1/128#0,Reverse Gradient,Обратить градиент
13/1/129#0,Level Correction,Коррекция уровней
13/1/130#0,Tone Curve,Тоновая кривая
13/1/131#0,Color balance,Цветовой баланс
13/1/132#0,Binarization,Бинаризация
13/1/133#0,Gradient map,Карта градиента
13/1/1374#0,Mask Layer,Слой маски
13/1/134#0,New Layer Folder,Новая папка слоёв
13/1/60#0,Duplicate Layer,Дублировать слой
13/1/61#0,Delete Layer,Удалить слой
13/1/135#0,Ungroup Layer Folder,Разгруппировать папку слоёв
13/1/62#0,Layer Mask,Маска слоя
13/1/63#0,Mask Outside Selection,Маскировать вне выделения
13/1/64#0,Mask Selection,Маскировать выделение
13/1/65#0,Delete Mask,Удалить маску
13/1/66#0,Apply Mask to Layer,Применить маску к слою
13/1/69#0,Link Mask to Layer,Связать маску со слоем
13/1/67#0,Enable Mask,Включить маску
13/1/68#0,Show Mask Area,Показать область маски
13/1/70#0,Ruler/Frame,Линейка/рамка
13/1/39#0,Selection from Ruler,Выделение из линейки
13/1/71#0,Draw along ruler,Рисовать вдоль линейки
13/1/72#0,Ruler from vector,Линейка из вектора
13/1/73#0,Delete Ruler,Удалить линейку
13/1/74#0,Show Ruler,Показать линейку
13/1/75#0,Link Ruler to Layer,Связать линейку со слоем
13/1/76#0,Create Perspective Ruler,Создать линейку перспективы
13/1/79#0,Show in All Layers,Показывать на всех слоях
13/1/1375#0,Show in Same Frame,Показать в той же рамке
13/1/80#0,Show in Same Folder,Показывать в той же папке
13/1/81#0,Show Only When Editing Target,Показывать только при редактировании цели
13/1/82#0,Link guide to ruler,Связать направляющую с линейкой
13/1/1376#0,Frame Border,Граница рамки
13/1/77#0,Divide frame border equally,Разделить рамку поровну
13/1/78#0,Combine frames,Объединить рамки
13/1/140#0,Merge with layer below,Объединить с нижним слоем
13/1/141#0,Merge selected layers,Объединить выбранные слои
13/1/160#0,Merge visible layers,Объединить видимые слои
13/1/161#0,Merge visible to new layer,Объединить видимые в новый слой
13/1/162#0,Flatten image,Свести изображение
13/1/850#0,Change Selected Layer,Изменить выбранный слой
13/1/852#0,Layer Above,Слой выше
13/1/854#0,Layer Below,Слой ниже
13/1/91#0,Layer Settings,Настройки слоя
13/1/101#0,Selection from Layer,Выделение из слоя
13/1/102#0,Create Selection,Создать выделение
13/1/103#0,Add Selection,Добавить к выделению
13/1/104#0,Delete Selection,Удалить выделение
13/1/105#0,Select Overlapping Area,Выделить перекрывающуюся область
13/1/106#0,Rasterize,Растрировать
13/1/59#0,Create folder and insert layer,Создать папку и вложить слой
13/1/137#0,Convert Layer,Преобразовать слой
13/1/138#0,Convert to lines and tones,Преобразовать в линии и тона
13/1/96#0,Show Layer,Показать слой
13/1/94#0,Lock Layer,Заблокировать слой
13/1/95#0,Lock transparent pixels,Заблокировать прозрачные пиксели
13/1/1377#0,Lock Image Pixels,Заблокировать пиксели изображения
13/1/1378#0,Lock Position,Заблокировать положение
13/1/92#0,Set as Reference Layer,Назначить эталонным слоем
13/1/136#0,Clip to Layer Below,Привязать к нижнему слою
13/1/97#0,Change Layer Name,Изменить имя слоя
13/1/98#0,Display palette color in parent folder,Показывать цвет палитры в родительской папке
13/1/99#0,Display palette color on canvas,Показывать цвет палитры на холсте
13/1/100#0,Advanced Settings,Дополнительные настройки
13/1/1379#0,New Gradient,Новый градиент
13/1/1380#0,New Fill,Новая заливка
13/1/1381#0,New Selection Layer,Новый слой выделения
13/1/1382#0,New Ruler Layer,Новый слой линейки
13/1/1383#0,New Paper Layer,Новый слой бумаги
13/1/93#0,Set as Draft Layer,Назначить черновым слоем
13/1/139#0,Transfer To Lower Layer,Перенести на нижний слой
13/1/1384#0,New Tone,Новый тон
13/1/840#0,Layer Order,Порядок слоёв
13/1/842#0,Top,Сверху
13/1/844#0,Up,Вверх
13/1/846#0,Down,Вниз
13/1/848#0,Bottom,Снизу
13/1/107#0,Show/Hide this layer,Показать/скрыть этот слой
13/1/163#0,Show This Layer And Parent Folders,Показать этот слой и родительские папки
13/1/164#0,Show All Other Layers,Показать все остальные слои
13/1/165#0,Hide All Other Layers,Скрыть все остальные слои
13/1/166#0,Hide All Except Selected Layer,"Скрыть всё, кроме выбранного слоя"
13/1/302#0,Light table,Лайтбокс
13/1/1385#0,Switch editing target and image on light table,Переключить цель редактирования и изображение на лайтбоксе
13/1/1386#0,Edit light table image,Редактировать изображение лайтбокса
13/1/142#0,Enable light table,Включить лайтбокс
13/1/1387#0,Switch editing target automatically,Переключать цель редактирования автоматически
13/1/143#0,Lock current animation cel as editing target,Заблокировать текущую ячейку анимации как цель редактирования
13/1/145#0,Register selected layer,Зарегистрировать выбранный слой
13/1/146#0,Select and register file,Выбрать и зарегистрировать файл
13/1/147#0,Register layer copied from another canvas,"Зарегистрировать слой, скопированный с другого холста"
13/1/148#0,Register onion skin images,Зарегистрировать изображения кальки
13/1/149#0,Deregister selected image from light table,Убрать выбранное изображение из лайтбокса
13/1/150#0,Deregister all images from light table,Убрать все изображения из лайтбокса
13/1/144#0,Move canvas to center,Переместить холст в центр
13/1/151#0,Color,Цвет
13/1/152#0,Half color,Половинный цвет
13/1/153#0,Monochrome,Монохромный
13/1/154#0,Change layer color,Изменить цвет слоя
13/1/155#0,Change sub color,Изменить дополнительный цвет
13/1/156#0,Delete layers,Удалить слои
13/1/157#0,Empty layers,Пустые слои
13/1/158#0,Hidden layers,Скрытые слои
13/1/1388#0,Delete all empty layers,Удалить все пустые слои
13/1/1389#0,Delete all hidden layers,Удалить все скрытые слои
13/1/159#0,Hide all visible draft layers,
13/1/340#0,View,Вид
13/1/167#0,Rotate/Flip,Поворот/отражение
13/1/1046#0,Reset Rotation/Inversion,Сбросить поворот/отражение
13/1/168#0,Reset Rotation,Сбросить поворот
13/1/169#0,Rotate 90,Повернуть на 90°
13/1/170#0,Rotate 180,Повернуть на 180°
13/1/171#0,Rotate 270,Повернуть на 270°
13/1/172#0,Flip Horizontal,Отразить по горизонтали
13/1/173#0,Flip Vertical,Отразить по вертикали
13/1/176#0,Zoom In,Увеличить
13/1/177#0,Zoom Out,Уменьшить
13/1/180#0,Fit To Screen,По размеру экрана
13/1/181#0,Reset Display,Сбросить отображение
13/1/182#0,Fit to Navigator,По размеру навигатора
13/1/1066#0,Scroll Bar,Полоса прокрутки
13/1/1070#0,Selection Launcher,Лаунчер выделения
13/1/315#0,Selection Launcher Settings,Настройки лаунчера выделения
13/1/1073#0,Transform launcher,Лаунчер трансформации
13/1/1075#0,Text launcher,Лаунчер текста
13/1/1077#0,Object Launcher,Лаунчер объекта
13/1/1079#0,Grid,Сетка
13/1/1081#0,Ruler Bar,Панель линеек
13/1/1083#0,Grid/Ruler Bar Settings,Настройки панели сетки/линеек
13/1/1099#0,Show Tone Area,Показать область тона
13/1/1390#0,Hide Tone Area,Скрыть область тона
13/1/1101#0,Show Selected Tone Area,Показать выбранную область тона
13/1/1103#0,Show All Tone Areas,Показать все области тонов
13/1/1105#0,Include Image Material Area,Включая область материала-изображения
13/1/1391#0,Change Display of Tone Area,Изменить отображение области тона
13/1/1107#0,Show vector paths,Показать векторные контуры
13/1/1109#0,Show vector paths on selected layers,Показать векторные контуры на выбранных слоях
13/1/1111#0,Show all vector paths on vector layers,Показать все векторные контуры на векторных слоях
13/1/1113#0,Show control points at beginning and end,Показать контрольные точки в начале и конце
13/1/1115#0,Show all control points,Показать все контрольные точки
13/1/1085#0,Crop marks/Inner border,Метки обреза/внутренняя рамка
13/1/1087#0,Crop marks/Inner border settings,Настройки меток обреза/внутренней рамки
13/1/1089#0,Safety margin,Поле безопасности
13/1/1091#0,On-screen area (webtoon),Экранная область (вебтун)
13/1/1093#0,On-screen area settings (webtoon),Настройки экранной области (вебтун)
13/1/1095#0,Story Information,Сведения о сюжете
13/1/1097#0,Paper,Бумага
13/1/1392#0,High Quality View,Высококачественный вид
13/1/174#0,Rotate Left,Повернуть влево
13/1/175#0,Rotate Right,Повернуть вправо
13/1/1120#0,Snap,Привязка
13/1/1122#0,Show guides when snapping,Показывать направляющие при привязке
13/1/1124#0,Snap to rulers,Привязать к линейкам
13/1/1126#0,Snap to special rulers,Привязать к специальным линейкам
13/1/1128#0,Snap to grid,Привязать к сетке
13/1/1130#0,Toggle special ruler snapping,Переключить привязку к специальной линейке
13/1/1136#0,Snap to objects,Привязать к объектам
13/1/1138#0,Snap to control points,Привязать к контрольным точкам
13/1/1132#0,Snap to canvas edge/inner border,Привязать к краю холста/внутренней рамке
13/1/1134#0,Snap frames to canvas edge/inner border,Привязать кадры к краю холста/внутренней рамке
13/1/1141#0,Color profile,Цветовой профиль
13/1/1143#0,Preview Settings,Настройки просмотра
13/1/1145#0,Preview,Предпросмотр
13/1/1393#0,Apply,Применить
13/1/1394#0,Tone Curve,Тоновая кривая
13/1/1395#0,Level Correction,Коррекция уровней
13/1/183#0,Print size,Размер печати
13/1/1064#0,Show canvas on external monitor,Показать холст на внешнем мониторе
13/1/343#0,Filter,Фильтр
13/1/630#0,Brightness/Contrast,Яркость/контраст
13/1/632#0,Hue/Saturation/Luminosity,Тон/Насыщенность/Яркость
13/1/634#0,Posterization,Постеризация
13/1/636#0,Reverse Gradient,Обратить градиент
13/1/638#0,Level Correction,Коррекция уровней
13/1/640#0,Tone Curve,Тоновая кривая
13/1/642#0,Color balance,Цветовой баланс
13/1/644#0,Binarization,Бинаризация
13/1/646#0,Gradient map,Карта градиента
13/1/648#0,Color Match,Сопоставление цветов
13/1/1396#0,Effect,Effect
13/1/1397#0,Crystallize,Кристаллизация
13/1/1398#0,Blur,Размытие
13/1/1399#0,Lens Blur,Размытие линзы
13/1/1400#0,None,Нет
13/1/1401#0,Get filters,Получить фильтры
13/1/1147#0,Quick Filters,Быстрые фильтры
13/1/1153#0,Quick Effects,Быстрые эффекты
13/1/1149#0,Apply to current layer,Применить к текущему слою
13/1/1151#0,Apply to all (create merged layer),Применить ко всему (создать объединённый слой)
13/1/346#0,Boost up,Ускорить
13/1/1157#0,How to accelerate creative?,Как ускорить творчество?
13/1/350#0,Window,Окно
13/1/1159#0,Canvas,Холст
13/1/1161#0,New Window,Новое окно
13/1/1163#0,Cascade,Каскадом
13/1/1165#0,Tiled,Мозаикой
13/1/1167#0,Next canvas,Следующий холст
13/1/1169#0,Previous Canvas,Предыдущий холст
13/1/1171#0,Workspace,Рабочая среда
13/1/1173#0,Reset to Default,Сбросить до значений по умолчанию
13/1/1175#0,Ver. 4.2 layout,
13/1/1178#0,Register Workspace,Зарегистрировать рабочее пространство
13/1/1180#0,Register workspace as material,Зарегистрировать рабочее пространство как материал
13/1/1182#0,Search for workspace material(s),Искать материалы рабочего пространства
13/1/1184#0,Manage Workspace,Управление рабочим пространством
13/1/1186#0,Workspace import settings,Настройки импорта рабочего пространства
13/1/1188#0,Reload workspace,Перезагрузить рабочее пространство
13/1/1191#0,Auto-install downloaded materials,Автоматически устанавливать загруженные материалы
13/1/1193#0,Command Bar,Панель команд
13/1/1195#0,Quick Access,Быстрый доступ
13/1/1197#0,Tool,Инструмент
13/1/1199#0,Tool Group,Группа инструментов
13/1/1201#0,Tool Settings,Настройки инструмента
13/1/1205#0,Brush Size,Размер кисти
13/1/1207#0,Advanced Tool Settings,Расширенные настройки инструмента
13/1/1209#0,Edit Bar,Панель редактирования
13/1/1203#0,Tool Sliders,Ползунки инструмента
13/1/1211#0,Color Wheel,Цветовой круг
13/1/1213#0,Color Slider,Цветовой ползунок
13/1/1215#0,Color Set,Цветовой набор
13/1/1223#0,Color Mixing,Смешивание цветов
13/1/1225#0,Layer,Слой
13/1/1227#0,Search Layer,Поиск слоя
13/1/1233#0,Animation cels,Ячейки анимации
13/1/1229#0,Layer Properties,
13/1/1231#0,Layer Comps,Композиции слоёв
13/1/1235#0,Timeline,Временная шкала
13/1/1240#0,Navigator,Навигатор
13/1/1248#0,Information,Сведения
13/1/1254#0,Material,Material
13/1/1237#0,All sides view,Вид со всех сторон
13/1/1244#0,History,История
13/1/1246#0,Auto Action,Автооперация
13/1/1242#0,Sub View,Дополнительный вид
13/1/1217#0,Intermediate Color,Промежуточный цвет
13/1/1219#0,Approximate Color,Приблизительный цвет
13/1/1402#0,Input Field,Поле ввода
13/1/1403#0,Quick Menu,Быстрое меню
13/1/1221#0,Color History,История цветов
